,Symbol,Current_Price,Change,Percent_Change,High_Price,Low_Price,Open_Price,Previous_Close,t,timestamp
0,AAPL,207.49,-2.19,-1.0444,211.89,207.11,210.39,209.68,1719000002,2024-06-24 10:17:45.040906
1,MSFT,449.78,4.08,0.9154,450.55,446.51,447.135,445.7,1719000003,2024-06-24 10:17:45.040906
2,GOOGL,179.63,3.33,1.8888,180.85,176.61,177.0,176.3,1719000002,2024-06-24 10:17:45.040906
3,AMZN,189.08,2.98,1.6013,189.275,185.87,187.74,186.1,1719000002,2024-06-24 10:17:45.040906
4,TSLA,183.01,1.44,0.7931,183.95,180.69,182.19,181.57,1719000001,2024-06-24 10:17:45.040906
5,META,494.78,-6.92,-1.3793,502.43,492.39,502.36,501.7,1719000002,2024-06-24 10:17:45.040906
6,NFLX,686.12,7.09,1.0441,686.87,678.1,682.63,679.03,1719000001,2024-06-24 10:17:45.040906
7,NVDA,126.57,-4.21,-3.2191,130.63,124.3,127.0,130.78,1719000001,2024-06-24 10:17:45.040906
8,INTC,31.09,0.47,1.5349,31.36,30.6701,30.87,30.62,1719000002,2024-06-24 10:17:45.040906
9,AMD,161.23,-0.55,-0.34,163.2,157.89,161.76,161.78,1719000002,2024-06-24 10:17:45.040906
